,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8928571428571429,0.8417329337329338,0.85,0.8402828368981717,0.8821428571428569,0.7288765088207985,0.23776223776223776,0.4788732394366197,0.3177570093457944,0.622859079611358,0.2012341022491455,2.7213993072509766,2.922633409500122
Feature_Envy_decision_tree,0.7826190476190474,0.6498347730962147,0.795,0.709432357569664,0.7857142857142856,0.8275184275184275,0.10899182561307902,0.625,0.18561484918793503,0.7295471841704717,0.19604253768920898,2.1072261333465576,2.3032686710357666
God_Class_decision_tree,0.9595238095238097,0.9404984198807729,0.942857142857143,0.9392668299421917,0.955357142857143,0.8996229971724788,0.5641025641025641,0.3776824034334764,0.45244215938303345,0.6708422604779876,0.20332741737365723,2.1825549602508545,2.3858823776245117
Long_Method_decision_tree,0.9897619047619048,0.9952307692307693,0.9742857142857143,0.9839594459180665,0.9858928571428571,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.1984562873840332,2.6036760807037354,2.8021323680877686
Data_Class_random_forest,0.9104761904761905,0.8627225282887048,0.8835714285714289,0.8686778107979443,0.9037499999999998,0.7938718662952646,0.32532751091703055,0.5246478873239436,0.40161725067385445,0.6797036228063568,2.256685495376587,6.717732191085815,8.974417686462402
Feature_Envy_random_forest,0.7933333333333333,0.6653529045754952,0.8000000000000002,0.7215528889122308,0.795,0.8525798525798526,0.11935483870967742,0.578125,0.1978609625668449,0.7198083143074582,2.895174264907837,6.174231052398682,9.069405317306519
God_Class_random_forest,0.9704761904761906,0.9456026089923151,0.9707142857142859,0.956619982214671,0.9705357142857143,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.6721031665802,7.929250717163086,13.601353883743286
Long_Method_random_forest,0.999047619047619,0.9986666666666667,0.9985714285714287,0.9985696040868455,0.9989285714285714,0.8985576923076923,1.0,0.14227642276422764,0.24911032028469748,0.5711382113821138,2.3049330711364746,6.908364772796631,9.213297843933105
