,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.888095238095238,0.8541007603507604,0.8142857142857146,0.8285339703395576,0.8696428571428573,0.7367688022284122,0.24504504504504504,0.4788732394366197,0.3241954707985697,0.6274045341568125,0.21199369430541992,0.30724525451660156,0.5192389488220215
Feature_Envy_decision_tree,0.7659523809523812,0.6654512859002024,0.6299999999999999,0.6380378314044841,0.7319642857142857,0.8117936117936118,0.09620253164556962,0.59375,0.1655773420479303,0.7063118340943684,0.18061041831970215,0.3588104248046875,0.5394208431243896
God_Class_decision_tree,0.965,0.956184065934066,0.9407142857142858,0.9464576673812058,0.9589285714285714,0.9033930254476908,0.6186440677966102,0.3133047210300429,0.415954415954416,0.6447412964599658,0.21350502967834473,0.31491804122924805,0.5284230709075928
Long_Method_decision_tree,0.9902380952380955,0.9932380952380953,0.9778571428571429,0.9847125229814886,0.9871428571428571,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18347501754760742,0.3261544704437256,0.509629487991333
Data_Class_random_forest,0.908809523809524,0.8661050147822594,0.8707142857142857,0.8637560967943229,0.8992857142857141,0.7785515320334262,0.2951167728237792,0.4894366197183099,0.3682119205298013,0.6559482563832192,5.245116233825684,6.1538238525390625,11.398940086364746
Feature_Envy_random_forest,0.7933333333333333,0.6785232714687386,0.754285714285714,0.7078250333020764,0.7835714285714285,0.8407862407862408,0.11077844311377245,0.578125,0.185929648241206,0.7137200342465754,5.192116737365723,4.89733099937439,10.089447736740112
God_Class_random_forest,0.9695238095238097,0.9445191050779287,0.9692857142857143,0.9554418963457342,0.9694642857142857,0.9038642789820923,0.6124031007751938,0.33905579399141633,0.43646408839779005,0.6562933813789796,4.470273971557617,5.092263698577881,9.562537670135498
Long_Method_random_forest,0.9821428571428571,0.9658928571428572,0.9842857142857143,0.9738501171880484,0.9826785714285714,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,3.2092080116271973,4.370850086212158,7.5800580978393555
