,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8904761904761905,0.8552809192441546,0.8192857142857143,0.8308082024033151,0.8726785714285714,0.775766016713092,0.29979879275653926,0.5246478873239436,0.38156209987195905,0.6692758153197258,0.19486546516418457,0,0.19486546516418457
Feature_Envy_decision_tree,0.7614285714285713,0.6583374459218111,0.6200000000000001,0.6297510369762568,0.7260714285714289,0.8088452088452088,0.09273182957393483,0.578125,0.15982721382289417,0.6972309424150178,0.17943143844604492,0,0.17943143844604492
God_Class_decision_tree,0.9621428571428574,0.9449224035768153,0.9457142857142858,0.9431288638441031,0.9580357142857143,0.9015080113100848,0.5909090909090909,0.33476394849785407,0.4273972602739726,0.6530886973828604,0.21239352226257324,0,0.21239352226257324
Long_Method_decision_tree,0.9923809523809526,0.990702380952381,0.9871428571428572,0.9884407589855866,0.9910714285714284,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.1882791519165039,0,0.1882791519165039
Data_Class_random_forest,0.9269047619047618,0.8933442940358576,0.8942857142857145,0.8904157469348516,0.91875,0.7989786443825441,0.3310657596371882,0.5140845070422535,0.4027586206896551,0.6781652481735332,2.4410088062286377,0,2.4410088062286377
Feature_Envy_random_forest,0.7788095238095238,0.6731977381493635,0.6807142857142857,0.6695528664602379,0.7542857142857146,0.8624078624078624,0.11702127659574468,0.515625,0.19075144508670522,0.694646594368341,2.347520351409912,0,2.347520351409912
God_Class_random_forest,0.9680952380952381,0.9504425052072114,0.9578571428571431,0.9526174577595603,0.9655357142857143,0.9033930254476908,0.6186440677966102,0.3133047210300429,0.415954415954416,0.6447412964599658,2.2713966369628906,0,2.2713966369628906
Long_Method_random_forest,0.9995238095238095,1.0,0.9985714285714287,0.9992592592592593,0.9992857142857143,0.8975961538461539,1.0,0.13414634146341464,0.23655913978494622,0.5670731707317074,2.178020715713501,0,2.178020715713501
