,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8907142857142858,0.8608164270370152,0.8135714285714287,0.8306064420899533,0.8714285714285716,0.7474466109563602,0.25925925925925924,0.49295774647887325,0.3398058252427184,0.6395270015816826,0.19583392143249512,0,0.19583392143249512
Feature_Envy_decision_tree,0.7649999999999999,0.6607082426517411,0.6307142857142857,0.6376876226603702,0.7314285714285715,0.8034398034398035,0.09420289855072464,0.609375,0.16317991631799164,0.7095581240487062,0.1925830841064453,0,0.1925830841064453
God_Class_decision_tree,0.9640476190476193,0.9454603623500683,0.9507142857142858,0.9462941590914339,0.9607142857142857,0.9010367577756834,0.5877862595419847,0.33047210300429186,0.4230769230769231,0.6509427746360792,0.20552468299865723,0,0.20552468299865723
Long_Method_decision_tree,0.9930952380952383,0.9910634920634921,0.9892857142857143,0.9897470808246669,0.9921428571428571,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.17630362510681152,0,0.17630362510681152
Data_Class_random_forest,0.9273809523809525,0.8931859088623796,0.8950000000000002,0.8909498957372706,0.9192857142857143,0.7915506035283194,0.3210412147505423,0.5211267605633803,0.3973154362416107,0.6768735407094977,2.4018216133117676,0,2.4018216133117676
Feature_Envy_random_forest,0.7745238095238095,0.6660137534240039,0.6735714285714286,0.6632595945162747,0.7492857142857141,0.85995085995086,0.11498257839721254,0.515625,0.18803418803418806,0.6933782026889904,2.317246913909912,0,2.317246913909912
God_Class_random_forest,0.9700000000000002,0.9526986102133163,0.9614285714285715,0.9553810782386978,0.967857142857143,0.9062205466540999,0.6440677966101694,0.3261802575107296,0.433048433048433,0.651973135637313,2.2768359184265137,0,2.2768359184265137
Long_Method_random_forest,0.9995238095238095,1.0,0.9985714285714287,0.9992592592592593,0.9992857142857143,0.8990384615384616,1.0,0.14634146341463414,0.2553191489361702,0.573170731707317,2.1982481479644775,0,2.1982481479644775
