,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8890476190476193,0.8540275670751677,0.8178571428571431,0.829302747756919,0.8712500000000002,0.7701949860724234,0.28772635814889336,0.5035211267605634,0.36619718309859156,0.6571081569631694,0.19810986518859863,0,0.19810986518859863
Feature_Envy_decision_tree,0.7604761904761905,0.6519703963906751,0.6278571428571429,0.6317095703058534,0.7273214285714285,0.8093366093366093,0.09701492537313433,0.609375,0.16738197424892706,0.7126022640791476,0.19549894332885742,0,0.19549894332885742
God_Class_decision_tree,0.965,0.9463367776014836,0.9528571428571431,0.9478857131312637,0.9619642857142857,0.9015080113100848,0.5895522388059702,0.33905579399141633,0.43051771117166215,0.6549699298173068,0.18781328201293945,0,0.18781328201293945
Long_Method_decision_tree,0.9935714285714287,0.9919523809523809,0.9892857142857143,0.9903074256522533,0.9925,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.19866085052490234,0,0.19866085052490234
Data_Class_random_forest,0.9245238095238095,0.887642318465848,0.8921428571428573,0.8870205474833233,0.9164285714285715,0.7994428969359332,0.33482142857142855,0.528169014084507,0.40983606557377045,0.6844053626572267,2.392930507659912,0,2.392930507659912
Feature_Envy_random_forest,0.7814285714285714,0.6728859266378616,0.6899999999999997,0.6751061703180758,0.7585714285714286,0.8643734643734644,0.11870503597122302,0.515625,0.19298245614035087,0.6956613077118214,2.3167824745178223,0,2.3167824745178223
God_Class_random_forest,0.9676190476190477,0.9477694552179848,0.9600000000000002,0.9521864961203673,0.9657142857142857,0.9052780395852968,0.6333333333333333,0.3261802575107296,0.43059490084985835,0.6514437550126437,2.3112194538116455,0,2.3112194538116455
Long_Method_random_forest,0.9997619047619049,1.0,0.9992857142857143,0.9996296296296296,0.9996428571428573,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,2.263597249984741,0,2.263597249984741
