,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8890476190476191,0.8453533572550599,0.8307142857142858,0.8328896980991314,0.8744642857142856,0.7739090064995358,0.29327902240325865,0.5070422535211268,0.3716129032258064,0.6607403780974618,0.20238637924194336,2.9731996059417725,3.175585985183716
Feature_Envy_decision_tree,0.7652380952380953,0.6605965406282744,0.6335714285714286,0.6383079143088092,0.7323214285714285,0.8432432432432433,0.09523809523809523,0.46875,0.15831134564643798,0.6620766742770168,0.2033689022064209,3.060882091522217,3.2642509937286377
God_Class_decision_tree,0.966190476190476,0.9569090247987307,0.9435714285714287,0.9486593738894074,0.9605357142857143,0.9029217719132894,0.6046511627906976,0.33476394849785407,0.43093922651933697,0.6538827683198641,0.19451522827148438,3.057009220123291,3.2515244483947754
Long_Method_decision_tree,0.9902380952380954,0.9913690476190475,0.98,0.9850249028111098,0.9876785714285715,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18952441215515137,3.1899302005767822,3.3794546127319336
Data_Class_random_forest,0.9035714285714285,0.8535763067771583,0.8685714285714289,0.8565310484156157,0.8948214285714287,0.7794800371402043,0.2955032119914347,0.4859154929577465,0.3675099866844208,0.6549898320403706,4.615535259246826,52.273879528045654,56.88941478729248
Feature_Envy_random_forest,0.7959523809523812,0.6784851128833327,0.7535714285714286,0.7088084980027283,0.7853571428571428,0.8368550368550368,0.10818713450292397,0.578125,0.18226600985221675,0.7116906075596144,6.053278923034668,51.33482480049133,57.388103723526
God_Class_random_forest,0.9692857142857144,0.9435247073188251,0.9707142857142859,0.9553147187237842,0.969642857142857,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,3.1752243041992188,48.171727418899536,51.346951723098755
Long_Method_random_forest,0.9935714285714287,0.9939047619047621,0.9871428571428572,0.9902032195135644,0.9919642857142857,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,3.44657826423645,46.245521783828735,49.692100048065186
