,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8933333333333334,0.8629643520823863,0.8171428571428572,0.8341292946541242,0.8742857142857143,0.7474466109563602,0.26014760147601473,0.4964788732394366,0.34140435835351085,0.6410201852828199,0.19394683837890625,0,0.19394683837890625
Feature_Envy_decision_tree,0.7685714285714286,0.6664972765023074,0.6264285714285713,0.6388738978832356,0.7330357142857145,0.8191646191646191,0.09574468085106383,0.5625,0.16363636363636364,0.6949993658041603,0.19344067573547363,0,0.19344067573547363
God_Class_decision_tree,0.9604761904761905,0.942449258515822,0.9442857142857144,0.9411935910482631,0.9564285714285715,0.9015080113100848,0.5909090909090909,0.33476394849785407,0.4273972602739726,0.6530886973828604,0.19502043724060059,0,0.19502043724060059
Long_Method_decision_tree,0.9928571428571428,0.9913690476190475,0.9878571428571429,0.9892448458310529,0.9916071428571428,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.19542837142944336,0,0.19542837142944336
Data_Class_random_forest,0.9245238095238095,0.8859891423935542,0.8935714285714288,0.8869384091807341,0.9167857142857143,0.7887650882079852,0.3192389006342495,0.5316901408450704,0.3989431968295905,0.6797488137380433,2.421347141265869,0,2.421347141265869
Feature_Envy_random_forest,0.7773809523809523,0.6732249574041369,0.6814285714285714,0.6690422381030569,0.7533928571428571,0.8584766584766584,0.11379310344827587,0.515625,0.1864406779661017,0.69261716768138,2.3257529735565186,0,2.3257529735565186
God_Class_random_forest,0.9690476190476192,0.9515649105796168,0.9585714285714286,0.9535184956105981,0.9664285714285715,0.9043355325164939,0.6209677419354839,0.33047210300429186,0.43137254901960786,0.6527956068224212,2.2372331619262695,0,2.2372331619262695
Long_Method_random_forest,0.9992857142857141,0.9993333333333334,0.9985714285714287,0.9989144316730523,0.9991071428571427,0.8975961538461539,1.0,0.13414634146341464,0.23655913978494622,0.5670731707317074,2.287745714187622,0,2.287745714187622
