,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8933333333333334,0.8427293130845761,0.845,0.8392527459403272,0.8812500000000001,0.7010213556174559,0.23837209302325582,0.5774647887323944,0.3374485596707819,0.6486254424945395,0.17654037475585938,0.36712145805358887,0.5436618328094482
Feature_Envy_decision_tree,0.7628571428571429,0.6565006065056374,0.6307142857142857,0.6337704383102918,0.7298214285714285,0.8117936117936118,0.09620253164556962,0.59375,0.1655773420479303,0.7063118340943684,0.20291543006896973,0.297199010848999,0.5001144409179688
God_Class_decision_tree,0.9602380952380953,0.9486344896933133,0.9350000000000002,0.9397664075943832,0.9539285714285713,0.9033930254476908,0.6521739130434783,0.2575107296137339,0.3692307692307692,0.6202852748121607,0.18837428092956543,0.30823445320129395,0.4966087341308594
Long_Method_decision_tree,0.9897619047619048,0.9896043417366949,0.9807142857142856,0.9845449101633751,0.9874999999999998,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.17500019073486328,0.3439939022064209,0.5189940929412842
Data_Class_random_forest,0.9071428571428573,0.8670455241782642,0.8635714285714287,0.8607259510469686,0.89625,0.7850510677808727,0.2942528735632184,0.4507042253521127,0.35605006954102913,0.6432665511787302,4.067838191986084,4.449092388153076,8.51693058013916
Feature_Envy_random_forest,0.8007142857142856,0.6810057575424382,0.7735714285714286,0.7194547817965717,0.7939285714285714,0.8619164619164619,0.1245674740484429,0.5625,0.20396600566572234,0.7170693810248605,4.182663440704346,4.553500413894653,8.736163854598999
God_Class_random_forest,0.9707142857142859,0.9463563168857287,0.9707142857142859,0.9570769607663381,0.9707142857142859,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,2.51625657081604,4.650325298309326,7.166581869125366
Long_Method_random_forest,0.9895238095238096,0.9859660633484162,0.9842857142857144,0.9843848467274496,0.9882142857142858,0.8966346153846154,1.0,0.12601626016260162,0.22382671480144403,0.5630081300813008,4.121874809265137,4.539453983306885,8.661328792572021
