,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8911904761904763,0.8455298160302029,0.8385714285714286,0.8368082341329006,0.8780357142857143,0.7739090064995358,0.29327902240325865,0.5070422535211268,0.3716129032258064,0.6607403780974618,0.18273162841796875,0.30867791175842285,0.4914095401763916
Feature_Envy_decision_tree,0.784047619047619,0.6733095038533355,0.7192857142857142,0.6862236789290974,0.7678571428571428,0.8604422604422605,0.11267605633802817,0.5,0.18390804597701152,0.6860730593607307,0.17841339111328125,0.33573222160339355,0.5141456127166748
God_Class_decision_tree,0.961904761904762,0.9500319974143505,0.9385714285714287,0.9424042339813198,0.9560714285714285,0.9043355325164939,0.6363636363636364,0.30042918454935624,0.40816326530612246,0.6396269797812955,0.17787718772888184,0.3586540222167969,0.5365312099456787
Long_Method_decision_tree,0.9888095238095238,0.9874331501831501,0.98,0.9828800752249027,0.9866071428571429,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18100881576538086,0.3187124729156494,0.4997212886810303
Data_Class_random_forest,0.9126190476190478,0.8761571975925694,0.8721428571428573,0.8695022486887457,0.9025000000000002,0.7961931290622098,0.31234866828087166,0.45422535211267606,0.37015781922525104,0.6511768471793328,6.251511573791504,5.079087972640991,11.330599546432495
Feature_Envy_random_forest,0.7966666666666665,0.6784683124752785,0.765,0.7145874392752904,0.78875,0.8555282555282555,0.12171052631578948,0.578125,0.20108695652173914,0.7213303843226787,6.180110931396484,4.68258810043335,10.862699031829834
God_Class_random_forest,0.9695238095238097,0.94400813402284,0.9692857142857144,0.9552266566704831,0.9694642857142857,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.182087659835815,5.33819317817688,10.520280838012695
Long_Method_random_forest,0.9930952380952381,0.9914257703081233,0.9885714285714287,0.989660793003396,0.9919642857142859,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,5.012700796127319,4.343190431594849,9.355891227722168
