,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8964285714285716,0.8438297467496383,0.8635714285714288,0.8474262707073785,0.8882142857142858,0.7938718662952646,0.2894736842105263,0.3873239436619718,0.3313253012048193,0.621469458462002,0.19568800926208496,3.0846643447875977,3.2803523540496826
Feature_Envy_decision_tree,0.7926190476190478,0.6779938300982754,0.74,0.7016048874345744,0.7794642857142857,0.858968058968059,0.11683848797250859,0.53125,0.19154929577464788,0.70042966768138,0.19699311256408691,3.6029016971588135,3.7998948097229004
God_Class_decision_tree,0.962857142857143,0.9516912303382894,0.9400000000000002,0.9438987446368983,0.9571428571428571,0.9052780395852968,0.6632653061224489,0.27896995708154504,0.3927492447129909,0.6307501982337318,0.2028520107269287,1.9913556575775146,2.1942076683044434
Long_Method_decision_tree,0.9902380952380954,0.9947307692307693,0.9764285714285714,0.9848367423126045,0.9867857142857143,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18668651580810547,2.5215461254119873,2.7082326412200928
Data_Class_random_forest,0.9135714285714286,0.8563191614886663,0.9,0.8739504400934297,0.9101785714285713,0.7595171773444754,0.2784090909090909,0.5176056338028169,0.3620689655172413,0.6569311591473977,3.2271456718444824,6.332343339920044,9.559489011764526
Feature_Envy_random_forest,0.7954761904761903,0.6674874430732218,0.8042857142857143,0.7233506880396561,0.7976785714285716,0.8530712530712531,0.11974110032362459,0.578125,0.19839142091152812,0.7200619926433283,2.5082545280456543,7.603662014007568,10.111916542053223
God_Class_random_forest,0.9657142857142857,0.9399771350510515,0.9642857142857143,0.9499188023919395,0.9653571428571428,0.9043355325164939,0.6190476190476191,0.33476394849785407,0.43454038997214484,0.6546768392568678,3.5612661838531494,7.038558483123779,10.599824666976929
Long_Method_random_forest,0.999047619047619,1.0,0.9971428571428572,0.9985185185185185,0.9985714285714287,0.8980769230769231,1.0,0.13821138211382114,0.24285714285714285,0.5691056910569106,4.395440101623535,7.821924686431885,12.21736478805542
