,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8907142857142857,0.849665150209268,0.8278571428571426,0.8327939760285222,0.8749999999999999,0.7089136490250696,0.23161189358372458,0.5211267605633803,0.3206933911159263,0.6292799578217971,0.1835644245147705,0.3498983383178711,0.5334627628326416
Feature_Envy_decision_tree,0.7873809523809524,0.6678674490713965,0.760714285714286,0.7048586105362525,0.7807142857142857,0.858968058968059,0.11683848797250859,0.53125,0.19154929577464788,0.70042966768138,0.17734217643737793,0.3374137878417969,0.5147559642791748
God_Class_decision_tree,0.9614285714285714,0.9480254884004886,0.9392857142857143,0.9416100620324758,0.9558928571428572,0.8944392082940622,0.5391304347826087,0.26609442060085836,0.3563218390804597,0.6190186237466971,0.1806032657623291,0.34171605110168457,0.5223193168640137
Long_Method_decision_tree,0.9914285714285715,0.992702380952381,0.9821428571428572,0.9869430480120137,0.9891071428571427,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.17513227462768555,0.3230140209197998,0.49814629554748535
Data_Class_random_forest,0.9047619047619048,0.8604159688350866,0.8607142857142859,0.8570194284592904,0.89375,0.7804085422469823,0.30105263157894735,0.5035211267605634,0.37681159420289856,0.6629905099043459,5.974707841873169,4.995545148849487,10.970252990722656
Feature_Envy_random_forest,0.795,0.6741619629080929,0.7749999999999999,0.7148437726634761,0.79,0.856019656019656,0.11960132890365449,0.5625,0.19726027397260273,0.7140252409944191,4.238667964935303,4.602216720581055,8.840884685516357
God_Class_random_forest,0.9690476190476192,0.9417392264598148,0.9714285714285715,0.9549511699111254,0.9696428571428573,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,2.7869467735290527,4.2428789138793945,7.029825687408447
Long_Method_random_forest,0.9992857142857141,1.0,0.9978571428571429,0.9988888888888888,0.9989285714285714,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,6.167287588119507,4.8846259117126465,11.051913499832153
