,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8942857142857141,0.8406216615342,0.8557142857142859,0.8434220850816203,0.8846428571428571,0.7321262766945218,0.2443280977312391,0.49295774647887325,0.3267211201866978,0.6307034721699178,0.20198631286621094,3.207066059112549,3.4090523719787598
Feature_Envy_decision_tree,0.7885714285714286,0.6597617487091811,0.7807142857142856,0.7090227885977315,0.7866071428571431,0.8412776412776413,0.10638297872340426,0.546875,0.17811704834605596,0.6988560692541858,0.1995680332183838,2.708660364151001,2.9082283973693848
God_Class_decision_tree,0.9680952380952381,0.9560318431568433,0.9507142857142858,0.9516048475151925,0.96375,0.8996229971724788,0.5943396226415094,0.2703862660944206,0.37168141592920356,0.6238114496168239,0.1942582130432129,1.7129995822906494,1.9072577953338623
Long_Method_decision_tree,0.9878571428571429,0.9864382855706384,0.9792857142857143,0.981873843681964,0.9857142857142855,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.2018299102783203,2.5119404792785645,2.7137703895568848
Data_Class_random_forest,0.9095238095238095,0.8584973302840949,0.8835714285714288,0.8673744835152631,0.9030357142857145,0.7924791086350975,0.31767337807606266,0.5,0.38850889192886456,0.6684491978609626,2.2420194149017334,6.841167688369751,9.083187103271484
Feature_Envy_random_forest,0.7952380952380953,0.6647591297423204,0.8121428571428573,0.7257150439760582,0.7994642857142857,0.8525798525798526,0.11935483870967742,0.578125,0.1978609625668449,0.7198083143074582,2.9915695190429688,6.527494430541992,9.519063949584961
God_Class_random_forest,0.9692857142857144,0.9438692290681456,0.9685714285714286,0.954871504032572,0.9691071428571427,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.323994398117065,7.809511423110962,13.133505821228027
Long_Method_random_forest,0.999047619047619,0.9993333333333334,0.9978571428571429,0.9985440613026819,0.99875,0.8980769230769231,1.0,0.13821138211382114,0.24285714285714285,0.5691056910569106,2.274624824523926,6.783553838729858,9.058178663253784
