,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8845238095238096,0.8315921393707771,0.8342857142857143,0.8271491863008709,0.8719642857142857,0.7701949860724234,0.28772635814889336,0.5035211267605634,0.36619718309859156,0.6571081569631694,0.17631149291992188,0.3580615520477295,0.5343730449676514
Feature_Envy_decision_tree,0.7876190476190476,0.6700144449558907,0.7435714285714287,0.6973881422642187,0.7766071428571428,0.8122850122850123,0.09644670050761421,0.59375,0.165938864628821,0.7065655124302385,0.18259191513061523,0.29352355003356934,0.47611546516418457
God_Class_decision_tree,0.9619047619047619,0.9377627864911148,0.9542857142857144,0.9433419731424182,0.96,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,0.18969178199768066,0.3519749641418457,0.5416667461395264
Long_Method_decision_tree,0.9907142857142859,0.9920357142857144,0.9807142857142856,0.9857970808246671,0.9882142857142857,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.1775341033935547,0.38492608070373535,0.56246018409729
Data_Class_random_forest,0.907142857142857,0.8648778103561386,0.865,0.8609795277997562,0.8966071428571429,0.7831940575673166,0.2980132450331126,0.4753521126760563,0.36635006784260515,0.6526493183701138,6.291915416717529,5.4966442584991455,11.788559675216675
Feature_Envy_random_forest,0.7961904761904762,0.6700131661349524,0.7935714285714286,0.7219201421688123,0.7955357142857141,0.8240786240786241,0.10483870967741936,0.609375,0.17889908256880735,0.7202126141552512,4.34495997428894,5.4931230545043945,9.838083028793335
God_Class_random_forest,0.9635714285714287,0.9391587211807801,0.9571428571428574,0.9462040314318402,0.9619642857142857,0.9057492931196984,0.6434782608695652,0.31759656652360513,0.42528735632183906,0.6479459804560852,2.6851415634155273,4.738013029098511,7.423154592514038
Long_Method_random_forest,0.9926190476190477,0.9931904761904762,0.985,0.988659304169649,0.9907142857142859,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,4.777706623077393,4.033109426498413,8.810816049575806
