,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8776190476190476,0.8261702415231826,0.8121428571428573,0.8128170362360971,0.86125,0.6847725162488394,0.22065063649222066,0.5492957746478874,0.31483350151362266,0.6273216841153876,0.19417786598205566,3.0760061740875244,3.27018404006958
Feature_Envy_decision_tree,0.7652380952380953,0.6537313384499917,0.6428571428571428,0.6407045154599414,0.7346428571428574,0.8668304668304668,0.11524163568773234,0.484375,0.18618618618618615,0.6818120560629122,0.1981499195098877,3.0611510276794434,3.259300947189331
God_Class_decision_tree,0.9621428571428574,0.9539076511723572,0.9350000000000002,0.9420574034460576,0.9553571428571429,0.9033930254476908,0.6186440677966102,0.3133047210300429,0.415954415954416,0.6447412964599658,0.20707321166992188,3.0408518314361572,3.247925043106079
Long_Method_decision_tree,0.9923809523809524,0.9913690476190475,0.9864285714285715,0.9884756150618219,0.9908928571428571,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.20490384101867676,3.1636388301849365,3.3685426712036133
Data_Class_random_forest,0.9059523809523811,0.865978770799204,0.86,0.8581349091069677,0.8944642857142858,0.7753017641597029,0.2916666666666667,0.49295774647887325,0.36649214659685864,0.6555697823303457,6.259283542633057,44.40235352516174,50.6616370677948
Feature_Envy_random_forest,0.7940476190476191,0.6737662009902722,0.7628571428571428,0.71155242760982,0.78625,0.8540540540540541,0.12052117263843648,0.578125,0.1994609164420485,0.7205693493150684,5.301123380661011,47.41849946975708,52.71962285041809
God_Class_random_forest,0.97,0.94370115097321,0.9721428571428572,0.9561951104039537,0.9705357142857145,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,6.73528265953064,51.07195520401001,57.80723786354065
Long_Method_random_forest,0.9983333333333333,0.9954166666666666,1.0,0.9976091954022988,0.99875,0.9009615384615385,0.9761904761904762,0.16666666666666666,0.2847222222222222,0.5830607051981098,5.0982279777526855,45.18595480918884,50.28418278694153
