,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8997619047619048,0.8435282204036076,0.8657142857142859,0.8510566712445466,0.89125,0.7539461467038069,0.2679245283018868,0.5,0.3488943488943489,0.6462566844919786,0.19489336013793945,3.200437068939209,3.3953304290771484
Feature_Envy_decision_tree,0.7923809523809524,0.6652997066942719,0.7992857142857145,0.7177394641491801,0.7941071428571429,0.8579852579852579,0.11072664359861592,0.5,0.1813031161473088,0.68480466768138,0.20034074783325195,2.263643741607666,2.463984489440918
God_Class_decision_tree,0.9614285714285715,0.9482610159448395,0.9392857142857145,0.9419571960524129,0.9558928571428571,0.9033930254476908,0.6521739130434783,0.2575107296137339,0.3692307692307692,0.6202852748121607,0.19140863418579102,2.6558475494384766,2.8472561836242676
Long_Method_decision_tree,0.9878571428571431,0.9898299595141701,0.975,0.9814987005331832,0.984642857142857,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.19339561462402344,2.725034236907959,2.9184298515319824
Data_Class_random_forest,0.9114285714285715,0.8626459430232651,0.8857142857142858,0.8695796216554839,0.9049999999999998,0.7859795728876509,0.3063457330415755,0.49295774647887325,0.3778677462887989,0.6617195149506666,2.2688746452331543,7.277398586273193,9.546273231506348
Feature_Envy_random_forest,0.794047619047619,0.6627530095926718,0.8071428571428574,0.7222137702522312,0.7973214285714285,0.8697788697788698,0.12075471698113208,0.5,0.1945288753799392,0.690892947742263,2.2313578128814697,8.345446348190308,10.576804161071777
God_Class_random_forest,0.9688095238095239,0.9419739998563529,0.9707142857142859,0.9546682523384417,0.9692857142857143,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.708840608596802,9.43354344367981,15.142384052276611
Long_Method_random_forest,0.9995238095238095,0.9986666666666667,1.0,0.9993103448275862,0.9996428571428573,0.8985576923076923,1.0,0.14227642276422764,0.24911032028469748,0.5711382113821138,2.5590062141418457,6.220563173294067,8.779569387435913
