,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8885714285714288,0.8532983046365399,0.8142857142857142,0.828223141342992,0.87,0.7539461467038069,0.27137546468401486,0.5140845070422535,0.35523114355231145,0.6522294192965278,0.1970524787902832,0,0.1970524787902832
Feature_Envy_decision_tree,0.7607142857142858,0.661622557868688,0.6178571428571429,0.6310164129204704,0.725,0.8093366093366093,0.095,0.59375,0.16379310344827586,0.7050434424150178,0.20439958572387695,0,0.20439958572387695
God_Class_decision_tree,0.9616666666666667,0.944267031171443,0.9457142857142858,0.9424442940716022,0.9576785714285715,0.9015080113100848,0.5909090909090909,0.33476394849785407,0.4273972602739726,0.6530886973828604,0.18380141258239746,0,0.18380141258239746
Long_Method_decision_tree,0.9930952380952383,0.9913214285714287,0.9885714285714287,0.9895876384152246,0.9919642857142857,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.19263005256652832,0,0.19263005256652832
Data_Class_random_forest,0.9259523809523812,0.8935848473422005,0.887857142857143,0.887898879027539,0.9164285714285714,0.7924791086350975,0.31929046563192903,0.5070422535211268,0.39183673469387753,0.6714355652632372,2.377598285675049,0,2.377598285675049
Feature_Envy_random_forest,0.7833333333333334,0.6718344879234972,0.702142857142857,0.6815544320765957,0.7630357142857143,0.856019656019656,0.11186440677966102,0.515625,0.18384401114206125,0.6913487760020295,2.311084270477295,0,2.311084270477295
God_Class_random_forest,0.967857142857143,0.9479521654815773,0.9600000000000002,0.9524312090085174,0.9658928571428572,0.9048067860508954,0.6324786324786325,0.31759656652360513,0.4228571428571428,0.6474165998314162,2.248436212539673,0,2.248436212539673
Long_Method_random_forest,0.9992857142857141,1.0,0.9978571428571429,0.9988888888888888,0.9989285714285714,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,2.222365379333496,0,2.222365379333496
