,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.898809523809524,0.8423581918167831,0.8671428571428571,0.8499788694335103,0.8908928571428573,0.7168059424326834,0.25076452599388377,0.5774647887323944,0.34968017057569295,0.6577163515854486,0.18162035942077637,0.3721785545349121,0.5537989139556885
Feature_Envy_decision_tree,0.7773809523809524,0.6716742519606297,0.6807142857142856,0.669354999438449,0.7532142857142858,0.8412776412776413,0.10638297872340426,0.546875,0.17811704834605596,0.6988560692541858,0.17110490798950195,0.36699366569519043,0.5380985736846924
God_Class_decision_tree,0.96,0.9395929846297496,0.9457142857142858,0.9402270749211239,0.9564285714285714,0.8996229971724788,0.5641025641025641,0.3776824034334764,0.45244215938303345,0.6708422604779876,0.17931485176086426,0.33900976181030273,0.518324613571167
Long_Method_decision_tree,0.9928571428571431,0.9925238095238096,0.9864285714285715,0.9891725962415618,0.9912499999999999,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.17702984809875488,0.3267979621887207,0.5038278102874756
Data_Class_random_forest,0.9045238095238094,0.8628789774896586,0.8600000000000001,0.8570210978810258,0.8933928571428571,0.7813370473537604,0.29540481400437635,0.4753521126760563,0.3643724696356275,0.6515797996535363,4.449723243713379,5.110482454299927,9.560205698013306
Feature_Envy_random_forest,0.7976190476190474,0.6836339645047077,0.7550000000000001,0.7125184581100207,0.7869642857142856,0.857002457002457,0.1152542372881356,0.53125,0.1894150417827298,0.6994149543378996,5.3089165687561035,4.5875630378723145,9.896479606628418
God_Class_random_forest,0.97,0.9442253106370754,0.9714285714285715,0.9562547565625986,0.9703571428571428,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,3.803755521774292,4.708606958389282,8.512362480163574
Long_Method_random_forest,0.9811904761904762,0.9689100948071538,0.9778571428571429,0.9721815200989842,0.9803571428571429,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,2.7151906490325928,4.180239200592041,6.895429849624634
