,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8907142857142857,0.8448297028908485,0.8342857142857144,0.8347977895517239,0.8766071428571428,0.7818012999071495,0.2905405405405405,0.45422535211267606,0.3543956043956044,0.6428880771258567,0.20065593719482422,3.1687171459198,3.369373083114624
Feature_Envy_decision_tree,0.7821428571428573,0.6600670371173972,0.7692857142857145,0.6992390960350856,0.7789285714285715,0.8712530712530713,0.11923076923076924,0.484375,0.19135802469135804,0.6840951610857433,0.19615411758422852,2.5415313243865967,2.737685441970825
God_Class_decision_tree,0.9642857142857143,0.9496284565108095,0.9471428571428572,0.9464842523665107,0.9599999999999999,0.9048067860508954,0.6448598130841121,0.296137339055794,0.40588235294117647,0.6380104376591833,0.20363759994506836,2.750983238220215,2.954620838165283
Long_Method_decision_tree,0.9876190476190477,0.9905448717948718,0.9728571428571431,0.9807738677669713,0.9839285714285715,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18932700157165527,2.524397373199463,2.713724374771118
Data_Class_random_forest,0.9111904761904762,0.8679854616917314,0.8778571428571428,0.8672501131031648,0.9028571428571426,0.7576601671309192,0.2746212121212121,0.5105633802816901,0.3571428571428571,0.6528752730285455,2.511449098587036,7.166802167892456,9.678251266479492
Feature_Envy_random_forest,0.794047619047619,0.6620826839871664,0.8100000000000002,0.7240602362405815,0.7980357142857143,0.8535626535626536,0.12012987012987013,0.578125,0.19892473118279572,0.7203156709791984,3.087928533554077,6.467690467834473,9.55561900138855
God_Class_random_forest,0.967857142857143,0.9402210191769018,0.9692857142857143,0.952884343703921,0.9682142857142857,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.7361743450164795,9.215256452560425,14.951430797576904
Long_Method_random_forest,0.9876190476190477,0.9791940314587373,0.9857142857142859,0.981754508129369,0.987142857142857,0.8966346153846154,1.0,0.12601626016260162,0.22382671480144403,0.5630081300813008,5.489815950393677,8.756189107894897,14.246005058288574
