,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.879761904761905,0.8156024783180357,0.842857142857143,0.8236292850279584,0.870535714285714,0.7437325905292479,0.21729957805907174,0.3626760563380282,0.2717678100263853,0.5821401672064472,0.1982746124267578,3.209928512573242,3.408203125
Feature_Envy_decision_tree,0.7890476190476191,0.6662302005569102,0.7742857142857145,0.7075837712983372,0.7853571428571429,0.8378378378378378,0.10882352941176471,0.578125,0.18316831683168314,0.7121979642313545,0.20967721939086914,3.156850576400757,3.366527795791626
God_Class_decision_tree,0.958095238095238,0.9396974757268876,0.9392857142857145,0.9367126841744751,0.953392857142857,0.8996229971724788,0.5641025641025641,0.3776824034334764,0.45244215938303345,0.6708422604779876,0.20599126815795898,2.8296914100646973,3.0356826782226562
Long_Method_decision_tree,0.9847619047619048,0.9874746103569634,0.9692857142857143,0.9769570550802869,0.9808928571428572,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.1827991008758545,2.6147608757019043,2.797559976577759
Data_Class_random_forest,0.9195238095238097,0.8759443677237795,0.8907142857142858,0.8800005445384756,0.9123214285714286,0.797121634168988,0.3288590604026846,0.5176056338028169,0.40218878248974016,0.678588913158093,4.120673656463623,6.668988466262817,10.78966212272644
Feature_Envy_random_forest,0.7969047619047618,0.6612403367634893,0.8364285714285715,0.7334082152156098,0.8067857142857142,0.8732186732186732,0.12403100775193798,0.5,0.19875776397515527,0.6926686960933536,2.7560808658599854,6.983175754547119,9.739256620407104
God_Class_random_forest,0.9676190476190476,0.939797800496717,0.9685714285714287,0.9526316207995853,0.9678571428571427,0.9048067860508954,0.6220472440944882,0.33905579399141633,0.43888888888888894,0.6568227620036489,3.6467995643615723,7.01225209236145,10.659051656723022
Long_Method_random_forest,0.9861904761904762,0.9834394527041588,0.9771428571428572,0.9791852128014531,0.9839285714285714,0.8971153846153846,1.0,0.13008130081300814,0.2302158273381295,0.5650406504065041,5.551896333694458,8.54054594039917,14.092442274093628
