,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8871428571428572,0.8441795516574928,0.8214285714285714,0.8276319742554625,0.8707142857142857,0.7701949860724234,0.28772635814889336,0.5035211267605634,0.36619718309859156,0.6571081569631694,0.18593049049377441,0.3491649627685547,0.5350954532623291
Feature_Envy_decision_tree,0.765,0.6617873411847869,0.6357142857142857,0.6397263593867977,0.7326785714285715,0.8343980343980344,0.10888252148997135,0.59375,0.1840193704600484,0.7179810375443937,0.18970704078674316,0.3105182647705078,0.500225305557251
God_Class_decision_tree,0.9590476190476189,0.9432323781739417,0.9378571428571431,0.9384650273386645,0.9537499999999999,0.9038642789820923,0.5900621118012422,0.40772532188841204,0.48223350253807107,0.6863931003301245,0.17999053001403809,0.38256168365478516,0.5625522136688232
Long_Method_decision_tree,0.9892857142857143,0.997008547008547,0.9714285714285714,0.9834223646723648,0.9848214285714286,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.17029404640197754,0.37380456924438477,0.5440986156463623
Data_Class_random_forest,0.905,0.8600015793030498,0.8614285714285717,0.8563996153829423,0.8941071428571428,0.7827298050139275,0.3,0.4859154929577465,0.3709677419354838,0.6568614897943813,6.098288059234619,5.4647767543792725,11.563064813613892
Feature_Envy_random_forest,0.7969047619047619,0.6732260061770091,0.7878571428571429,0.7205157861993766,0.7946428571428571,0.8540540540540541,0.1180327868852459,0.5625,0.19512195121951223,0.7130105276509386,4.2877819538116455,4.194566249847412,8.482348203659058
God_Class_random_forest,0.9671428571428572,0.9384757774904834,0.97,0.9521841812659388,0.9678571428571426,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,5.899878740310669,4.6577394008636475,10.557618141174316
Long_Method_random_forest,0.9938095238095239,0.9933690476190477,0.9885714285714288,0.9906496989600438,0.9924999999999998,0.8975961538461539,0.9714285714285714,0.13821138211382114,0.24199288256227758,0.568833062921687,4.7328879833221436,5.181334972381592,9.914222955703735
