,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8871428571428571,0.8352351129262897,0.835714285714286,0.8304391295086633,0.8742857142857143,0.7711234911792015,0.2781316348195329,0.4612676056338028,0.34701986754966885,0.6397247119078104,0.2088487148284912,3.3491885662078857,3.558037281036377
Feature_Envy_decision_tree,0.7754761904761903,0.6613531180721582,0.7042857142857143,0.6750213226082121,0.7576785714285715,0.8063882063882064,0.10144927536231885,0.65625,0.17573221757322177,0.7337566590563166,0.18804049491882324,3.165034532546997,3.3530750274658203
God_Class_decision_tree,0.9657142857142857,0.9571645299145298,0.9435714285714287,0.9479876510462718,0.9601785714285714,0.8986804901036758,0.5865384615384616,0.26180257510729615,0.3620178041543027,0.6195196041232617,0.20394611358642578,3.288255453109741,3.492201566696167
Long_Method_decision_tree,0.9911904761904764,0.9913690476190475,0.9828571428571429,0.9865952731814802,0.989107142857143,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.1899089813232422,3.021643877029419,3.211552858352661
Data_Class_random_forest,0.9047619047619048,0.8578027037462023,0.8671428571428573,0.858690917621157,0.8953571428571431,0.7794800371402043,0.2955032119914347,0.4859154929577465,0.3675099866844208,0.6549898320403706,5.962763071060181,50.18470311164856,56.14746618270874
Feature_Envy_random_forest,0.7954761904761903,0.6798142035982593,0.7592857142857143,0.7121107564645766,0.7864285714285714,0.8530712530712531,0.11726384364820847,0.5625,0.1940700808625337,0.7125031709791984,3.0373919010162354,51.012131690979004,54.04952359199524
God_Class_random_forest,0.9690476190476192,0.9441378025569205,0.9685714285714287,0.9545599855897412,0.9689285714285716,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,4.331687927246094,48.65136647224426,52.983054399490356
Long_Method_random_forest,0.9938095238095238,0.9920357142857142,0.99,0.9907007845283706,0.9928571428571428,0.8975961538461539,0.9714285714285714,0.13821138211382114,0.24199288256227758,0.568833062921687,2.98844051361084,45.60459327697754,48.59303379058838
