,Accuracy,Precision,Recall,F1,ROC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC,Training_time,Optimize_time,Total_time
Data_Class_decision_tree,0.8895238095238095,0.8575126066743713,0.8121428571428573,0.8279077087118334,0.8701785714285717,0.7367688022284122,0.24504504504504504,0.4788732394366197,0.3241954707985697,0.6274045341568125,0.19722270965576172,3.0439913272857666,3.2412140369415283
Feature_Envy_decision_tree,0.755952380952381,0.6469150659282238,0.6307142857142858,0.6289682284545791,0.724642857142857,0.8668304668304668,0.11524163568773234,0.484375,0.18618618618618615,0.6818120560629122,0.19400310516357422,2.999270439147949,3.1932735443115234
God_Class_decision_tree,0.9661904761904764,0.956453135100194,0.9457142857142858,0.9487592052490829,0.9610714285714285,0.8991517436380773,0.5887850467289719,0.2703862660944206,0.37058823529411766,0.6235467593044892,0.22337651252746582,3.0764706134796143,3.29984712600708
Long_Method_decision_tree,0.9895238095238096,0.9875567226890758,0.9821428571428572,0.9842520803877868,0.9876785714285713,0.8966346153846154,0.9696969696969697,0.13008130081300814,0.22939068100358426,0.5647680222712805,0.18806886672973633,2.9101529121398926,3.098221778869629
Data_Class_random_forest,0.904761904761905,0.8593804748313262,0.8621428571428573,0.8569497011948626,0.8941071428571431,0.7753017641597029,0.2907949790794979,0.4894366197183099,0.36482939632545935,0.6540765986292085,5.772967338562012,48.0236120223999,53.796579360961914
Feature_Envy_random_forest,0.7971428571428573,0.6720524031352204,0.7928571428571428,0.7220230198476209,0.7960714285714287,0.8663390663390663,0.12043795620437957,0.515625,0.1952662721893491,0.6966760210553019,3.105020761489868,47.91278862953186,51.01780939102173
God_Class_random_forest,0.9692857142857144,0.9443393665158372,0.9692857142857143,0.9550863035534894,0.9692857142857143,0.9033930254476908,0.6076923076923076,0.33905579399141633,0.43526170798898073,0.6560286910666452,4.816608667373657,48.07583713531494,52.8924458026886
Long_Method_random_forest,0.9947619047619048,0.9952857142857144,0.9892857142857143,0.9919745835263076,0.9933928571428572,0.8975961538461539,1.0,0.13414634146341464,0.23655913978494622,0.5670731707317074,3.582308292388916,44.91310667991638,48.4954149723053
